"STATION","ID","ELEV(FEET)","LATITUDE","LONGITUDE","COUNTY","RIVER BASIN"
"LOST HORSE","LTH","4100","34.016998","-116.182999","RIVERSIDE","WHITEWATER R"
"LOWER BATH HOUSE (SFSU FIELD CAMPUS)","LBH","5528","39.624073","-120.577652","SIERRA","YUBA R"
"LOWER CRYSTAL SPRINGS RESERVOIR","CRY","293","37.515278","-122.355835","SAN MATEO","SAN MATEO CREEK"
"LOWER KIBBIE RIDGE","KIB","6700","38.033024","-119.879242","TUOLUMNE","TUOLUMNE R"
"LOWER KLAMATH NWR","LKL","4098","41.999001","-121.699997","SISKIYOU","KLAMATH R"
"LOWER LASSEN PEAK","LLP","8338","40.466602","-121.508110","SHASTA","FEATHER R"
"LOWER MET","LMT","7063","38.433201","-120.149902","CALAVERAS","MOKELUMNE R"
"LOWER RELIEF VALLEY","REL","8100","38.242916","-119.762917","TUOLUMNE","STANISLAUS R"
"LYONS VALLEY","LYO","3200","39.125000","-123.070999","LAKE","RUSSIAN R"
"LYTLE CREEK","LYC","2792","34.234001","-117.480003","SAN BERNARDINO","SANTA ANA R"
"MAD R ABV RUTH RESERVOIR NR FOREST GLEN","MRF","2700","40.284313","-123.335304","TRINITY","MAD R"
"MAD RIVER (USFS)","MDF","2775","40.463001","-123.524002","TRINITY","MAD R"
"MAD RIVER NEAR ARCATA","ARC","33","40.909851","-124.060616","HUMBOLDT","MAD R"
"MAGOON","MGN","3150","37.489399","-119.812500","MARIPOSA","FRESNO R"
"MAHOGANY","MAH","7530","36.029999","-118.219002","KERN","KERN R"
"MAJORS CREEK DIVERSION","MJR","350","36.998882","-122.120804","SANTA CRUZ","SANTA CRUZ CO COAST"
"MALIBU","MLB","1575","34.061699","-118.643997","LOS ANGELES","VENTURA LA COASTAL"
"MALIBU CANYON","MCY","610","34.083900","-118.703300","LOS ANGELES","VENTURA LA COASTAL"
"MALLORY RIDGE","MLR","2040","37.817001","-121.778999","CONTRA COSTA","DELTA"
"MAMMOTH PASS (USBR)","MHP","9300","37.612400","-119.031746","MONO","OWENS R"
"MANZANITA LAKE (CDF)","MNZ","5750","40.542999","-121.582001","SHASTA","SACTO VLY NE"
"MAPEL RANCH","MAP","2640","36.039001","-120.483002","FRESNO","JACALITOS CR"
"MARIPOSA CK ABV TOMKI RD","MRK","955","39.332199","-123.235298","MENDOCINO","RUSSIAN R"
"MARIPOSA CK BLW MARIPOSA DAM","MRQ","346","37.279999","-120.161697","MARIPOSA","LITTLEJOHN CR"
"MARIPOSA CREEK DAM","MAR","459","37.292000","-120.147003","MARIPOSA","MERCED R"
"MARIPOSA GROVE","MPG","6400","37.500000","-119.599998","MARIPOSA","MERCED R"
"MARIPOSA RANGER STATION","MRP","2250","37.504166","-119.986946","MARIPOSA","MERCED R"
"MARLETTE LAKE","MRL","8000","39.173000","-119.904999","State of Nevada","LAKE TAHOE"
"MARSH CREEK AT BRENTWOOD","MBW","43","37.962551","-121.688087","CONTRA COSTA","EAST BAY"
"MARSH CREEK AT DAINTY AVENUE","MDA","80","37.932583","-121.711220","CONTRA COSTA","EAST BAY"
"MARSH CREEK FIRE","MRH","740","37.894901","-121.863503","CONTRA COSTA","SF BAY"
"MARSH CREEK FIRE DEPARTMENT","MFD","680","37.893002","-121.864998","CONTRA COSTA","SAN JOAQUIN R"
"MARSH CREEK RESERVOIR","MAC","205","37.889999","-121.724998","CONTRA COSTA","EAST BAY"
"MARTINEZ","MRZ","8","38.027637","-122.140488","CONTRA COSTA","EAST BAY"
"MARTIS CK NR TRUCKEE","MTK","5730","39.328796","-120.117699","NEVADA","TRUCKEE R"
"MARTIS CREEK RESERVOIR","MRT","5745","39.327000","-120.112999","NEVADA","TRUCKEE R"
"MATTOLE RIVER NEAR ETTERSBURG","MRE","626","40.139309","-123.991425","HUMBOLDT","MATTOLE R"
"MATTOLE RIVER NEAR PETROLIA","PTA","40","40.313190","-124.283379","HUMBOLDT","MATTOLE R"
"MCCLOUD DAM (PG&E)","MCL","2690","41.130001","-122.070999","SHASTA","MC CLOUD R"
"MCCLOUD R AT AH-DI-NA","MCA","2130","41.110500","-122.096703","SHASTA","MC CLOUD R"
"MCCLOUD RIVER ABOVE SHASTA LAKE","MSS","1100","40.958000","-122.219002","SHASTA","MC CLOUD R"
"MCCLOUD RIVER BELOW MCCLOUD DAM","MC7","2400","41.122349","-122.064163","SHASTA","MC CLOUD R"
"MCCLOUD RIVER NEAR MCCLOUD","MCD","2711","41.186001","-122.058998","SISKIYOU","MC CLOUD R"
"MCINTIRE ROAD","MCI","180","38.220001","-121.038002","SAN JOAQUIN","MOKELUMNE R"
"MEADOW LAKE","MDW","7200","39.405663","-120.506058","NEVADA","YUBA R"
"MEADOWBROOK (PG&E)","MBR","8021","37.082001","-118.862999","FRESNO","KINGS R"
"MEANS LAKE","MNS","2900","34.390999","-116.516998","SAN BERNARDINO","WHITEWATER R"
"MEDICINE LAKE","MED","6700","41.591389","-121.610832","SISKIYOU","PIT R"
"MERCED LAKE","MLK","7300","37.738548","-119.405724","MARIPOSA","MERCED R"
"MERCED R AT AMSTERDAM RD","AMR","173","37.468060","-120.538887","MERCED","MERCED R"
"MERCED R AT HAPPY ISLES BR NR YOSEMITE","HIB","4016","37.731594","-119.558777","MARIPOSA","MERCED R"
"MERCED R AT HWY 59 (MID)","H59","210","37.470280","-120.500000","MERCED","MERCED R"
"MERCED R AT POHONO BR NR YOSEMITE","POH","3862","37.716873","-119.666275","MARIPOSA","MERCED R"
"MERCED R AT SHAFFER BRIDGE NR CRESSY","MBN","117","37.454224","-120.608803","MERCED","MERCED R"
"MERCED R BLW CROCKER-HUFFMAN DAM","MBH","294","37.518223","-120.380196","MERCED","MERCED R"
"MERCED R NR BRICEBURG #2","MBG","1150","37.604774","-119.967758","MARIPOSA","MERCED R"
"MERCED R NR MERCED FALLS","MRC","311","37.521999","-120.331001","MERCED","MERCED R"
"MERCED RIVER ABOVE FERGUSON SLIDE","FS3","1475","37.656803","-119.899239","MARIPOSA","MERCED R"
"MERCED RIVER AT CRESSY","CRS","165","37.424999","-120.663002","MERCED","MERCED R"
"MERCED RIVER AT FERGUSON SLIDE DOWNSTRM","FS2","1371","37.660088","-119.900681","MARIPOSA","MERCED R"
"MERCED RIVER AT FERGUSON SLIDE UPSTREAM","FS1","1385","37.655170","-119.897263","MARIPOSA","MERCED R"
"MERCED RIVER BELOW MERCED FALLS","MMF","310","37.521999","-120.331001","MERCED","MERCED R"
"MERCED RIVER NEAR BRICEBURG","MBB","1150","37.598900","-119.978104","MARIPOSA","MERCED R"
"MERCED RIVER NEAR SNELLING","MSN","260","37.501999","-120.450996","MERCED","MERCED R"
"MERCED RIVER NEAR STEVINSON","MST","82","37.370998","-120.931000","MERCED","MERCED R"
"MERIDIAN PUMPS","MPS","50","39.147999","-121.917999","SUTTER","SACRAMENTO R"
"METCALF GAP","MCF","3300","37.410000","-119.764999","MADERA","FRESNO R"
"MF STANISLAUS R AT KENNEDY MEADOWS","S52","6326","38.297501","-119.740280","TUOLUMNE","STANISLAUS R"
"MF STANISLAUS R BL SANDBAR DIV DAM","S12","2720","38.183056","-120.157776","TUOLUMNE","STANISLAUS R"
"MF TUOLUMNE R NR OAKLAND REC CAMP","MTO","2800","37.828159","-120.012253","TUOLUMNE","TUOLUMNE R"
"MIDDLE BOULDER 3","MB3","6200","41.224838","-122.806160","SISKIYOU","SCOTT R"
"MIDDLE CK NR UPPER LAKE","MCU","1360","39.182552","-122.911842","LAKE","SACRAMENTO R"
"MIDDLE FK AMERICAN R NR OXBOW PH","OXB","1070","39.006001","-120.760002","PLACER","AMERICAN R"
"MIDDLE FORK EEL RIVER NEAR DOS RIOS","DOS","900","39.706268","-123.325294","MENDOCINO","EEL R"
"MIDDLE FORK FEATHER RIVER NEAR PORTOLA","MFP","4850","39.818951","-120.444878","PLUMAS","FEATHER R"
"MIDDLE R AT BACON ISLAND RD","BIR","10","37.943054","-121.533890","SAN JOAQUIN","SAN JOAQUIN R"
"MIDDLE RIVER ABOVE BARRIER","MAB","7","37.885181","-121.472763","SAN JOAQUIN","SAN JOAQUIN R"
"MIDDLE RIVER AT HOWARD ROAD BRIDGE","MHR","20","37.876999","-121.384003","SAN JOAQUIN","SAN JOAQUIN R"
"MIDDLE RIVER AT MIDDLE RIVER","MDM","10","37.943001","-121.533997","SAN JOAQUIN","DELTA"
"MIDDLE RIVER AT TRACY BLVD","MTB","20","37.881001","-121.456001","SAN JOAQUIN","SAN JOAQUIN R"
"MIDDLE RIVER AT UNDINE ROAD","MRU","0","37.833900","-121.386002","SAN JOAQUIN","SAN JOAQUIN R"
"MIDDLE RIVER AT UNION POINT","MUP","0","37.890778","-121.488358","SAN JOAQUIN","SAN JOAQUIN R"
"MIDDLE RIVER NEAR HOLT","HLT","0","38.003101","-121.510803","SAN JOAQUIN","SAN JOAQUIN R"
"MIDDLE RIVER NEAR HOWARD ROAD BRIDGE","MHO","0","37.876221","-121.383308","SAN JOAQUIN","DELTA"
"MIDDLE RIVER NEAR TRACY BLVD","MRX","13","37.881416","-121.467392","SAN JOAQUIN","SAN JOAQUIN R"
"MIDDLE YUBA RIVER BELOW OUR HOUSE DAM","ORH","1958","39.411999","-120.997002","YUBA","YUBA R"
"MILL CREEK BELOW HWY 99","MCH","230","40.040058","-122.104630","TEHAMA","SACRAMENTO R"
"MILL CREEK NEAR LA CANADA","MLC","3510","34.384724","-118.066704","LOS ANGELES","SAN GABRIEL R"
"MILL CREEK NEAR PIEDRA","PDR","550","36.819000","-119.340897","FRESNO","KINGS R"
"MILL CREEK NEAR YUCAIPA","MLL","2950","34.083000","-117.035004","SAN BERNARDINO","SANTA ANA R"
"MILL CREEK NR LOS MOLINOS","MLM","385","40.054604","-122.024155","TEHAMA","SACRAMENTO R"
"MINER SLOUGH AT FIVE POINTS","MFV","23","38.290115","-121.644783","SOLANO","SACRAMENTO R"
"MINER SLOUGH NEAR SACRAMENTO RIVER","MIR","5","38.236027","-121.666054","SOLANO","SACRAMENTO R"
"MINERAL","MIN","4957","40.348061","-121.609718","TEHAMA","SACTO VLY NE"
"MINERS RANCH RESERVOIR (STA 2)","MR2","886","39.511501","-121.461960","BUTTE","FEATHER R"
"MINING RIDGE","MNG","4710","36.081001","-121.496002","MONTEREY","MONTEREY COAST"
"MINT CANYON FIRE STATION","MTN","2791","34.508610","-118.361946","LOS ANGELES","SANTA CLARA R"
"MIRA VISTA ROAD","MAI","1575","38.983601","-122.693901","LAKE","CACHE CR"
"MISSION PEAK","MSP","1580","37.516998","-121.883003","ALAMEDA","ALAMEDA CR"
"MITCHELL MEADOW","MTM","9900","36.737000","-118.711998","TULARE","KINGS R"
"MOCCASIN MET STATION","MHH","930","37.810150","-120.296860","TUOLUMNE","TUOLUMNE R"
"MOJAVE R DAM","MJD","47","34.342499","-117.235001","SAN BERNARDINO","MOJAVE R"
"MOJAVE RIVER - VICTORVILLE","MVV","2643","34.570000","-117.320000","SAN BERNARDINO","MOJAVE R"
"MOJAVE RIVER SINK","MOJ","950","35.057999","-116.083000","SAN BERNARDINO","MOJAVE R"
"MOKELUMNE R @ BENSON'S FERRY NR THORNTON","BEN","0","38.255138","-121.440086","SAN JOAQUIN","MOKELUMNE R"
"MOKELUMNE R AT SAN JOAQUIN RIVER","MOK","0","38.106098","-121.571098","SAN JOAQUIN","MOKELUMNE R"
"MOKELUMNE RIVER AT WOODBRIDGE","WBR","46","38.159000","-121.302002","SAN JOAQUIN","MOKELUMNE R"
"MOKELUMNE-MOKELUMNE HILL","MKM","575","38.313000","-120.719002","AMADOR","MOKELUMNE R"
"MONITOR PASS","MNT","8350","38.669998","-119.614998","ALPINE","CARSON R"
"MONITORING WELL MW-17-225","225","116","37.023312","-120.539024","FRESNO","SAN JOAQUIN R"
"MONTECITO","MTC","1500","34.459999","-119.642998","SANTA BARBARA","S BARBARA COAST"
"MONTEZUMA SLOUGH AT ROARING R","MSL","0","38.093399","-121.887199","SOLANO","DELTA"
"MORATTINI FLAT","MFT","7108","38.894081","-120.276283","EL DORADO","AMERICAN R"
"MORMON ROCK","MRN","3300","34.317001","-117.501999","SAN BERNARDINO","LYTLE CR"
"MORMON SLOUGH AT BELLOTA (USACE)","MRS","130","38.054001","-121.012001","CALAVERAS","CALAVERAS R"
"MORRISON CREEK AT FLORIN ROAD","MFR","20","38.498520","-121.452728","SACRAMENTO","SACRAMENTO R"
"MOUNT DIABLO PEAK","DBL","3690","37.880001","-121.917999","CONTRA COSTA","EAST BAY"
"MOUNT ELIZABETH","MTE","4933","38.056999","-120.240997","TUOLUMNE","TUOLUMNE R"
"MOUNT MADONNA","MMD","1822","37.011002","-121.702003","SANTA CLARA","SAN BENITO R"
"MOUNT ROSE SKI AREA","MSK","8900","39.326000","-119.902000","State of Nevada","LAKE TAHOE"
"MOUNT SHASTA","MTS","3545","41.314999","-122.316940","SISKIYOU","SACRAMENTO R"
"MOUNTAIN HOME","MNH","5400","36.242001","-118.709999","TULARE","TULE R"
"MOUNTAIN REST","MTF","4100","37.054001","-119.371002","FRESNO","SAN JOAQUIN R"
"MT DIABLO PARK HEADQUARTERS","MDH","1600","37.850910","-121.931290","CONTRA COSTA","DELTA"
"MT SHASTA","MTA","3550","41.314999","-122.317001","SISKIYOU","SACRAMENTO R"
"MT VACA","MVA","2611","38.395000","-122.098618","SOLANO","ULATIS CR"
"MT. UMUNHUM #2","UMN","3090","37.158001","-121.903999","SANTA CLARA","SF BAY"
"MT. ZION","MTZ","2968","38.389999","-120.652496","AMADOR","MOKELUMNE R"
"MUD CREEK NEAR CHICO","MUC","170","39.783356","-121.886719","BUTTE","SACRAMENTO R"
"MUD SLOUGH NR GUSTINE","MSG","70","37.262501","-120.905602","MERCED","SAN JOAQUIN R"
"MUD SPRINGS","MUD","3400","40.712132","-123.289207","TRINITY","TRINITY R"
"MULE MT RAWS","MUL","2044","40.569199","-122.503098","SHASTA","SACRAMENTO R"
"MUMBO BASIN","MUM","5650","41.197819","-122.525963","TRINITY","TRINITY R"
"MUSTANG CREEK DETENTION BASIN","MDB","188","37.488056","-120.655281","MERCED","MERCED R"
"MUSTANG RIDGE","MTG","2700","36.193001","-120.759003","MONTEREY","SALINAS R"
"MWCD PARKS CK DIVERSION NR EDGEWOOD","MPD","3000","41.451805","-122.447647","SISKIYOU","SHASTA R"
"N FK CACHE CK NR CLEARLAKE OAKS 8NE","NCL","1840","39.165562","-122.618889","LAKE","CACHE CR"
"N FK COTTONWOOD CK ABV LK AT BRDG NR ONO","NCO","2800","40.535835","-122.674843","SHASTA","COTTONWOOD CR"
"N FK KINGS R ABV DINKET CK","NDC","2001","36.915001","-119.120598","FRESNO","KINGS R"
"N FK OF M FK TULE R BLW TULE DIV DAM","TDD","5100","36.208599","-118.657501","TULARE","TULE R"
"N FK WILLOW CK NR SUGAR PINE","NFW","5200","37.397800","-119.559196","MADERA","SAN JOAQUIN R"
"N FORK AMERICAN R AT AUBURN DAM","NFA","500","38.852001","-121.056999","PLACER","AMERICAN R"
"N FORK CACHE CREEK AT HOUGH SPRINGS","NFC","1534","39.165447","-122.619987","LAKE","CACHE CR"
"N FORK KINGS RIV BLW BALCH DIV DAM","NKB","2890","36.903000","-119.050003","FRESNO","KINGS R"
"N HONCUT CK AT HWY 70","NHC","74","39.309307","-121.595177","YUBA","FEATHER R"
"N YUBA R BLW GOODYEARS BAR","GYB","2453","39.524895","-120.938004","SIERRA","YUBA R"
"N YUBA R. ABV SLATE CK NR STRAWBERRY","NYS","2000","39.524700","-121.090599","YUBA","YUBA R"
"NAPA RIVER NEAR NAPA","NAP","25","38.368244","-122.303307","NAPA","NAPA R"
"NAPA RIVER NEAR ST HELENA","STH","195","38.511299","-122.455811","NAPA","NAPA R"
"NATIONAL STEEL","NSL","0","38.122101","-121.888100","SOLANO","SACRAMENTO R"
"NATURE POINT","NTP","5150","37.340221","-119.361633","MADERA","SAN JOAQUIN R"
"NAVARRO RIVER NEAR NAVARRO","NRN","5","39.170456","-123.668068","MENDOCINO","NAVARRO RIVER"
"NEW BULLARDS BAR","BUL","1965","39.393002","-121.139999","YUBA","YUBA R"
"NEW BULLARDS BAR AUX","BUX","1965","39.393002","-121.139999","YUBA","YUBA R"
"NEW BULLARDS BAR DAM","BDB","2080","39.396358","-121.143768","YUBA","YUBA R"
"NEW EXCHEQUER-LK MCCLURE","EXC","879","37.584999","-120.269997","MARIPOSA","MERCED R"
"NEW HOGAN LAKE","NHG","554","38.152000","-120.811996","CALAVERAS","CALAVERAS R"
"NEW HOGAN POOL","NGP","546","38.150299","-120.812500","CALAVERAS","CALAVERAS R"
"NEW HOGAN WEATHER","NHW","554","38.150799","-120.815598","CALAVERAS","CALAVERAS R"
"NEW MELONES","NMS","1400","37.951939","-120.525833","CALAVERAS","STANISLAUS R"
"NEW MELONES RESERVOIR","NML","1135","37.948101","-120.525002","CALAVERAS","STANISLAUS R"
"NEW SPICER MEADOW","SPM","6516","38.393333","-119.996902","TUOLUMNE","STANISLAUS R"
"NEWCASTLE-PINEVIEW SCHOOL","NCS","890","38.874001","-121.135002","PLACER","AMERICAN R"
"NEWELL CREEK RESERVOIR DIVERSION","NWC","600","37.102413","-122.072533","SANTA CRUZ","SAN LORENZO R"
"NEWHALL PASS","NHP","2135","34.336899","-118.520302","LOS ANGELES","SANTA CLARA R"
"NF AMERICAN R AT NORTH FORK DAM","NFD","715","38.936008","-121.023834","PLACER","AMERICAN R"
"NF BATTLE CK BLW DIV TO WILDCAT CANAL","BTW","1200","40.420399","-121.961235","TEHAMA","SACRAMENTO R"
"NF COTTONWOOD CREEK AT SUNNY HILL MINE","NCB","1674","40.474907","-122.705353","SHASTA","COTTONWOOD CR"
"NF FEATHER R BELOW BELDEN DAM","F70","2811","40.071388","-121.163612","PLUMAS","FEATHER R"
"NF FEATHER R BL GRIZZLY CREEK","F56","1465","39.852501","-121.391388","BUTTE","FEATHER R"
"NF FEATHER R BL ROCK CREEK DIV DAM","F57","2080","39.979721","-121.275833","PLUMAS","FEATHER R"
"NF KINGS R BLW WISHON DAM","NKW","6300","37.001400","-118.972198","FRESNO","KINGS R"
"NF KINGS RIVER BLW DINKEY CREEK","NKD","1035","36.880001","-119.127998","FRESNO","KINGS R"
"NF MOKELUMNE R AB TIGER CREEK","M38","2338","38.446667","-120.489166","AMADOR","MOKELUMNE R"
"NF MOKELUMNE R BL ELECTRA DIVERSION","M46","1980","38.420834","-120.548889","AMADOR","MOKELUMNE R"
"NF MOKELUMNE R BL SALT SPRINGS DAM","M11","3590","38.493610","-120.220001","CALAVERAS","MOKELUMNE R"
"NF MOKELUMNE R BL TIGER CREEK AFTERBAY","MBT","2220","38.440277","-120.503891","AMADOR","MOKELUMNE R"
"NF MOKELUMNE R BLW SNODGRASS SLOUGH","MKN","9","38.223137","-121.506767","SAN JOAQUIN","MOKELUMNE R"
"NF OF MF TULE R BLW DOYLE SPRINGS","TDO","3920","36.204700","-118.667198","TULARE","TULE R"
"NF OF MF TULE R NR SPRINGVILLE","TSP","2920","36.174702","-118.694702","TULARE","TULE R"
"NF WILLOW CK BLW MANZANITA DAM","NMD","2819","37.244400","-119.516098","MADERA","SAN JOAQUIN R"
"NO FK KINGS R NR CLIFF CAMP","NKC","6150","36.993900","-118.980301","FRESNO","KINGS R"
"NO FK WILLOW CK BLW BASS LAKE","WCB","3200","37.293301","-119.527802","MADERA","SAN JOAQUIN R"
"NOEL SPRING","NLS","5100","39.537998","-122.667000","GLENN","STONY CR"
"NORDHOFF RIDGE","NRD","4100","34.509998","-119.230003","VENTURA","VENTURA R"
"NORTH COW MOUNTAIN","NCW","3416","39.179600","-123.080002","MENDOCINO","RUSSIAN R"
"NORTH FORK BATTLE CREEK NEAR MANTON","BNF","998","40.424332","-121.986946","TEHAMA","SACRAMENTO R"
"NORTH FORK CACHE CREEK ABOVE SLIDE","NCU","1440","39.071087","-122.541618","LAKE","CACHE CR"
"NORTH FORK CACHE CREEK NR CHALK MOUNTAIN","NCC","1175","39.069504","-122.584328","LAKE","CACHE CR"
"NORTH FORK DIVERSION DAM","NDV","6695","38.438332","-120.016670","ALPINE","STANISLAUS R"
"NORTH FORK FEATHER RIVER AT PULGA","NFP","1305","39.793999","-121.450996","BUTTE","FEATHER R"
"NORTH FORK R S","NFR","2630","37.233002","-119.500000","MADERA","SAN JOAQUIN R"
"NORTH FORK STANISLAUS NEAR AVERY","AVY","3388","38.243889","-120.290001","CALAVERAS","STANISLAUS R"
"NORTH FORK STANISLAUS R BLW DIVERSION","NSD","6640","38.433998","-120.017998","CALAVERAS","STANISLAUS R"
"NOYO RIVER NR FORT BRAGG","NOY","12","39.428223","-123.737793","MENDOCINO","NOYO R"
"O'KANE (BLUE LAKE)","OKN","850","40.905964","-123.815338","HUMBOLDT","REDWOOD CR"
"O'NEILL FOREBAY @ GIANELLI PUMPING PLANT","ONG","0","37.066601","-121.071899","MERCED","SAN JOAQUIN R"
"OAK CREEK","OAC","4855","36.842999","-118.259003","INYO","OWENS R"
"OAK GROVE","OKG","2752","33.393002","-116.794998","SAN DIEGO","SANTA MARGARITA R"
"OAK KNOLL","OKK","1940","41.833000","-123.833000","DEL NORTE","SMITH R"
"OAKDALE WEATHER STATION","OKW","186","37.734699","-120.845001","STANISLAUS","STANISLAUS R"
"OAKHURST","OKH","2360","37.344700","-119.675797","MADERA","FRESNO R"
"OAKLAND NORTH","ONO","1500","37.867001","-122.217003","ALAMEDA","EAST BAY"
"OAKLAND SOUTH","OSO","1000","37.788101","-122.143600","ALAMEDA","EAST BAY"
"OGO RANGER STATION","OGO","1300","40.422779","-122.737778","SHASTA","COTTONWOOD CR"
"OIL CANYON","OIL","2690","35.332001","-118.585999","KERN","CALIENTE CR"
"OLD & MIDDLE RVRS TIDALLY FILTERED EST","OMR","10","37.970001","-121.571098","SAN JOAQUIN","DELTA"
"OLD RIVER ABOVE DOUGHTY CUT","ORX","8","37.810997","-121.386574","SAN JOAQUIN","SAN JOAQUIN R"
"OLD RIVER AT BACON ISLAND (USGS)","OBI","10","37.969368","-121.572220","SAN JOAQUIN","DELTA"
"OLD RIVER AT BYRON","ORB","18","37.889999","-121.570000","CONTRA COSTA","SAN JOAQUIN R"
"OLD RIVER AT CLIFTON COURT INTAKE","ORI","0","37.827999","-121.552597","CONTRA COSTA","SAN JOAQUIN R"
"OLD RIVER AT CONEY ISLAND","CIS","5","37.845894","-121.537971","CONTRA COSTA","SAN JOAQUIN R"
"OLD RIVER AT DELTA MENDOTA CANAL","ODM","10","37.810295","-121.542145","SAN JOAQUIN","DELTA"
"OLD RIVER AT FRANKS TRACT NEAR TERMINOUS","OSJ","0","38.071098","-121.578903","SAN JOAQUIN","DELTA"
"OLD RIVER AT HEAD","OH1","15","37.807552","-121.331253","SAN JOAQUIN","SAN JOAQUIN R"
"OLD RIVER AT HIGHWAY 4","OH4","10","37.891109","-121.569168","CONTRA COSTA","DELTA"
"OLD RIVER AT QUIMBLY IS NEAR BETHEL IS","ORQ","0","38.027199","-121.564499","SAN JOAQUIN","SAN JOAQUIN R"
"OLD RIVER AT TRACY WILDLIFE ASSOCIATION","TWA","0","37.802799","-121.457397","SAN JOAQUIN","SAN JOAQUIN R"
"OLD RIVER NEAR DMC ABOVE DAM","OAD","4","37.810322","-121.542107","SAN JOAQUIN","SAN JOAQUIN R"
"OLD RIVER NEAR DMC BELOW DAM","OBD","4","37.810963","-121.543938","SAN JOAQUIN","SAN JOAQUIN R"
"OLD RIVER NEAR TRACY","OLD","5","37.804810","-121.449562","SAN JOAQUIN","DELTA"
"OLD RIVER UPSTREAM OF MOUNTAIN HOUSE CRK","ORM","5","37.793839","-121.517380","SAN JOAQUIN","SAN JOAQUIN R"
"OLIVE SPRINGS QUARRY","OLV","480","37.063000","-121.925003","SANTA CRUZ","SAN LORENZO R"
"ONEILL FOREBAY","ONF","225","37.067001","-121.067001","MERCED","SAN JOAQUIN VLY WEST"
"OPENSHAW","OPS","268","39.589832","-121.635162","BUTTE","COTTONWOOD CR"
"ORANGEVALE WATER DISTRICT YARD","ORN","236","38.687000","-121.219330","SACRAMENTO","AMERICAN R"
"OREGON CREEK AT CAMPTONVILLE","OCC","2191","39.446110","-121.045280","YUBA","YUBA R"
"OREGON CREEK BELOW LOG CABIN","LCB","1913","39.445000","-121.057999","YUBA","YUBA R"
"OREJANO CANYON","OCN","2560","35.257999","-118.567001","KERN","CALIENTE CR"
"ORESTIMBA CREEK NR NEWMAN","ORE","0","37.315491","-121.125206","STANISLAUS","SAN JOAQUIN R"
"ORINDA FIRE STATION 43","ODA","700","37.899570","-122.170670","CONTRA COSTA","EAST BAY"
"ORMSBY ROAD","ORR","2302","37.066898","-121.823997","SANTA CRUZ","SAN LORENZO R"
"OROVILLE DAM","ORO","900","39.540001","-121.492996","BUTTE","FEATHER R"
"OROVILLE DAM SPILLWAY WEATHER STATION","OWS","880","39.542999","-121.490997","BUTTE","FEATHER R"
"OROVILLE FISH HATCHERY","ORF","171","39.516998","-121.550003","BUTTE","FEATHER R"
"OSTRANDER LAKE","STR","8200","37.636608","-119.553329","MARIPOSA","MERCED R"
"OUR HOUSE DAM","OHD","1960","39.412106","-120.997177","YUBA","YUBA R"
"OWENS CAMP","OWC","4500","38.733002","-120.245003","EL DORADO","AMERICAN R"
"OWENS CK BLW EASTSIDE CNL NR CRANE RNCH","OCD","27","37.219109","-120.699081","MERCED","MERCED R"
"OWENS CK BLW OWENS DAM","OWQ","357","37.273300","-120.278297","MERCED","MERCED R"
"OWENS CREEK DAM","OWN","424","37.282001","-120.186996","MARIPOSA","MERCED R"
"OWENS VALLEY","OVC","4640","37.389999","-118.550003","INYO","OWENS R"
"OZENA","OZN","3670","34.681999","-119.353996","VENTURA","CUYAMA R"
"PACHECO PUMPING PLANT (SLR00000)","PPP","548","37.061901","-121.180603","MERCED","SAN JOAQUIN R"
"PACIFIC HOUSE","PFH","3440","38.759369","-120.507690","EL DORADO","AMERICAN R"
"PACK SPRING","PKS","3170","35.612999","-118.277000","KERN","KERN R"
"PAJARO RIVER AT CHITTENDEN","CHT","82","36.900230","-121.597725","SANTA CRUZ","PAJARO R"
"PALISADES TAHOE SNOTEL","SQV","8200","39.194000","-120.276001","PLACER","TRUCKEE R"
"PALO ALTO 3E","PAA","7","37.438999","-122.107002","SANTA CLARA","SF BAY"
"PANTHER MEADOW","PTM","8600","36.586807","-118.715874","TULARE","KAWEAH R"
"PARADISE","PDE","1750","39.753601","-121.624702","BUTTE","FEATHER R"
"PARADISE CUT","PDC","8","37.802059","-121.412254","SAN JOAQUIN","SAN JOAQUIN R"
"PARADISE CUT ABV OLD R","PCO","26","37.801945","-121.412308","SAN JOAQUIN","DELTA"
"PARADISE MEADOW","PDS","7650","38.046116","-119.671745","TUOLUMNE","TUOLUMNE R"
"PARADISE REPEATER","PRP","9370","36.474701","-118.699203","TULARE","KAWEAH R"
"PARDEE","PAR","568","38.250000","-120.849998","CALAVERAS","MOKELUMNE R"
"PARK RIDGE","PKR","7540","36.724201","-118.942497","FRESNO","KINGS R"
"PARKFIELD","PKF","1535","35.898998","-120.431999","MONTEREY","SALINAS R"
"PARKS BIG SPRINGS","PBS","2591","41.573502","-122.439499","SISKIYOU","SHASTA R"
"PARKS CK BLW MWCD DIVERSION NR EDGEWOOD","PME","3010","41.452930","-122.447479","SISKIYOU","SHASTA R"
"PARROT DIV FROM BUTTE CREEK","BPD","269","39.708904","-121.754189","BUTTE","BUTTE CR"
"PARSHAL FLUME FLOW","PRF","100","38.492100","-122.005638","SOLANO","PUTAH CR"
"PARSHAL FLUME HEAD","PRH","100","38.492100","-122.005638","SOLANO","PUTAH CR"
"PASCOES","PSC","9150","35.966999","-118.349998","TULARE","KERN R"
